degree,rho_up_grade,rho_down_mu_0.35,rho_slide_mu_0.35,rho_down_mu_0.5,rho_slide_mu_0.5,rho_down_mu_0.7,rho_slide_mu_0.7,rho_roll_cgH_0.4,rho_roll_cgH_0.45,rho_roll_cgH_0.5,rho_roll_cgH_0.55
27.75,0.9112760115609415,1.5032155713966242,1.5032155713966242,1.0522509008795664,1.0522509008795664,0.7516077867720375,0.7516077867720375,0.4925002631932043,0.5540627960275233,0.6156253288474353,0.6771878616529404
28.0,0.9209477489061249,1.519169800406597,1.519169800406597,1.06341886119612,1.06341886119612,0.7595849012884199,0.7595849012884199,0.4977273657698201,0.5599432864255279,0.6221592070666759,0.6843751276932641
28.25,0.930664468145011,1.5351982302977378,1.5351982302977378,1.0746387621295355,1.0746387621295355,0.7675991162454391,0.7675991162454391,0.5029787788672951,0.5658511261594961,0.6287234734369835,0.6915958206997576
28.5,0.9404268564040125,1.5513019945346713,1.5513019945346713,1.0859113971050511,1.0859113971050511,0.7756509983754085,0.7756509983754085,0.5082548738439606,0.5717867330075502,0.635318592156272,0.698850451290126
28.75,0.9502356107783207,1.5674822430262436,1.5674822430262436,1.09723757105886,1.09723757105886,0.7837411226327521,0.7837411226327521,0.5135560274457871,0.5777505308089071,0.6419450341570043,0.7061395374900786
29.0,0.9600914385485798,1.5837401424829396,1.5837401424829396,1.1086181006883018,1.1086181006883018,0.7918700723727128,0.7918700723727128,0.5188826219234853,0.5837429495956166,0.648603277252569,0.7134636048943429
29.25,0.9699950574027459,1.600076876782857,1.600076876782857,1.120053814708046,1.120053814708046,0.8000384395343407,0.8000384395343407,0.5242350451524116,0.589764425727454,0.655293806287161,0.7208231868315329
29.5,0.9799471956632964,1.6164936473465044,1.6164936473465044,1.1315455541124493,1.1315455541124493,0.8082468248278906,0.8082468248278906,0.5296136907553618,0.5958154020300649,0.6620171132892754,0.7282188245329934
29.75,0.9899485925199316,1.6329916735206587,1.6329916735206587,1.143094172444256,1.143094172444256,0.8164958379267521,0.8164958379267521,0.5350189582283366,0.60189632793645,0.6687736976289127,0.7356510673057247
30.0,0.9999999982679493,1.6495721929715814,1.6495721929715814,1.1547005360698503,1.1547005360698503,0.8247860976640567,0.8247860976640567,0.5404512530693704,0.608007659631898,0.6755640661786159,0.7431204727095242
30.25,1.0101021745524417,1.6662364620878405,1.6662364620878405,1.1663655244612303,1.1663655244612303,0.8331182322340892,0.8331182322340892,0.5459109869105084,0.6141498602024595,0.6823887334784413,0.7506276067384537
30.5,1.020255894618503,1.6829857563930435,1.6829857563930435,1.178090030484922,1.178090030484922,0.8414928793986545,0.8414928793986545,0.5513985776530317,0.6203233997870758,0.6892482219049901,0.7581730440067745
30.75,1.0304619435676219,1.699821370968777,1.699821370968777,1.1898749606980368,1.1898749606980368,0.8499106866985467,0.8499106866985467,0.5569144496060242,0.6265287557334663,0.6961430618446172,0.7657573679394768
31.0,1.0407211186204397,1.716744620888045,1.716744620888045,1.2017212356516784,1.2017212356516784,0.8583723116702687,0.8583723116702687,0.562459033628381,0.6327664127578879,0.7030737918709413,0.7733811709675413
31.25,1.0510342293860762,1.7337568416595406,1.7337568416595406,1.2136297902019326,1.2136297902019326,0.8668784220681681,0.8668784220681681,0.5680327672743665,0.6390368631088877,0.7100409589267926,0.781045054728081
31.5,1.0614020981382115,1.7508593896830646,1.7508593896830646,1.225601573828661,1.225601573828661,0.8754296960921463,0.8754296960921463,0.573636094942822,0.6453406067351627,0.717045118510723,0.7887496302695028
31.75,1.0718255600981375,1.768053642716437,1.768053642716437,1.237637550962338,1.237637550962338,0.884026822621114,0.884026822621114,0.5792694680301422,0.6516781514576564,0.7240868348682253,0.7964955182618491
32.0,1.0823054637249836,1.785341000354247,1.785341000354247,1.2497387013191776,1.2497387013191776,0.8926705014523671,0.8926705014523671,0.5849333450871276,0.6580500131460193,0.7311666811878001,0.8042833492124701
