pair_id,roi_id,scenario,模型方案,是否找到路径,规划模型内部相对累计代价_Jplan,规划路径长度_L_m,规划平均单位距离相对代价,规划绕行率_L除以直线距离,路径节点数,V10统一重评价相对累计代价_Jplan,V10统一重评价平均单位距离相对代价,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b,硬约束rho_lim
8,2,diagonal_ne_sw,V9_Constant_Adhesion,True,15927.25706401046,8868.506159174689,1.7959346002746268,1.0779213632186997,121,17990.908971713518,2.0286290214842415,8868.506159174702,0.2525275001349234,0.5647921151853462,0.2851686612989329,0.7863935784937166,1.1436065784166227,1.2970252853150686,2.3079647835585444,1.0148393901891146,5.9078399073811205,5.9078399073811205,0.043236008883195884,0.43839346718647715,0.16867779278483944,0.3837434780635199,0.5069565436905656,0.6377789294774522,0.13889328861475114,0.4502690300942623,0.0,0.41083768129098686,0.36788107416665594,0.36788107416665594,
8,2,diagonal_ne_sw,V10_Free,True,17886.738564280957,8935.98946187937,2.0016517074673357,1.0861236119785629,123,17886.738564280957,2.0016517074673357,8935.989461879382,0.26816194203714555,0.601136997045439,0.2336951741015071,0.5999086764278942,1.0453912611417522,1.2013430921360884,2.3079647835585444,0.7045700224879842,1.7711225979325418,2.3079647835585444,0.00911589619249094,0.39106734255244263,0.2087494187026238,0.4017472792651945,0.5364635847699638,0.64963026691597,0.20230350668832098,0.47421635194278816,0.0,0.32348014136889114,0.37660592434578594,0.37660592434578594,
8,2,diagonal_ne_sw,V10_Hard_rho_1p0,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.0
8,2,diagonal_ne_sw,V10_Hard_rho_1p2,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.2
8,2,diagonal_ne_sw,V10_Hard_rho_1p5,True,29316.215164595713,15648.009718937272,1.8734788443489483,1.9019351923713401,230,29316.215164595713,1.8734788443489483,15648.009718937245,0.27494961185653555,0.5128414127968978,0.24022486444267943,0.5883656226617873,0.9163958783147202,1.5185356202669977,1.8604963504757905,0.7110339676484243,1.7475639325453656,1.8604963504757905,0.005205745252899668,0.337327033925226,0.22532688957169636,0.3915407767402331,0.456274369106979,0.5405678168801922,0.25934921417767065,0.42477829571126774,0.0,0.31587249011106144,0.38868748281698606,0.38868748281698606,1.5
9,2,diagonal_nw_se,B0_Static_Slope,True,36012.006604006325,9855.201145861245,3.6541117802684115,1.197849069874226,146,18226.6100230089,1.8494406915949433,9855.201145861252,0.3552784615569611,0.4054254918716052,0.20602086901420183,0.5055545325893688,0.9376109583350037,1.413970188089378,2.5539847038824055,0.7770189075480919,1.841404646456453,2.5539847038824055,0.011689381267718266,0.27252282740907663,0.24329937423978096,0.21023681119066662,0.40878424111361494,0.5051356107581596,0.3265432028652082,0.31042729071503,0.0,0.3630295064197623,0.3906959936898786,0.3906959936898786,
9,2,diagonal_nw_se,B1_Longitudinal_Directional,True,20231.25497446224,11277.146393320243,1.7940048190245856,1.3706792097030958,174,31862.83671458854,2.8254343433425455,11277.14639332024,0.2427481386818398,0.3068046222842541,0.6732955194024377,1.8167549168216732,1.8845690397582726,1.2028004913005919,3.836259680117611,1.2346135256440822,3.836259680117611,3.836259680117611,0.5117114760005622,0.8736964881795803,0.11521170719413715,0.20503512946491317,0.8583733027327377,0.8809199070721414,0.05530866564336913,0.06253208453593014,0.0,0.8821592498207007,0.35514104306605615,0.35514104306605615,
9,2,diagonal_nw_se,V9_Constant_Adhesion,True,16584.889111431643,9456.090481771493,1.7538843503456674,1.1493392190166851,137,17994.382148306133,1.902940986340381,9456.090481771498,0.34435536746042905,0.38423515572149725,0.27969921095803524,0.7243928578736275,0.9938411443751967,1.413970188089378,2.7435867937525797,0.7587361097234308,6.2914658753928805,6.2914658753928805,0.029411764705882353,0.41176470588235287,0.2363392325274334,0.21554197425724086,0.4214243271984173,0.4959988538434978,0.23129297149055675,0.24643175460118702,0.0,0.5222752739082561,0.3859570652697635,0.3859570652697635,
9,2,diagonal_nw_se,V10_Free,True,17939.909054243068,9571.291685435517,1.8743456624085486,1.1633413334956264,139,17939.909054243068,1.8743456624085486,9571.291685435523,0.35821649577990916,0.3997340395854602,0.2373281595826489,0.5722979007991568,0.9391343926879415,1.4734306018432253,2.7435867937525797,0.7770189075480919,1.809628148846466,2.7435867937525797,0.02905776121216827,0.3186028375803218,0.2469909703034303,0.23555969695793358,0.3848014909048561,0.4875361909009742,0.3121570878744356,0.29762820726835143,0.0,0.39021470485721355,0.39245826933488315,0.39245826933488315,
9,2,diagonal_nw_se,V10_Hard_rho_1p0,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.0
